X,name,url_location
27260,"Hotel S’Agaro | S'Agaró, CT | EV Station",https://www.plugshare.com/location/153596
27279,"Comstock Community Center | Wilton, CT | EV Station",https://www.plugshare.com/location/153644
27302,"Celrà | Celrà, CT | EV Station",https://www.plugshare.com/location/153686
27314,"Fenie pavelló Palau Plegamans i Solità | Palau-solità i Plegamans, CT | EV Station",https://www.plugshare.com/location/153713
27319,"Vidreres | Vidreres, CT | EV Station",https://www.plugshare.com/location/153721
27343,"Guíxols Mas Trempat PIRVEC | Sant Feliu de Guíxols, CT | EV Station",https://www.plugshare.com/location/153778
27637,"Danbury Fair Mall (1) | Danbury, CT | EV Station",https://www.plugshare.com/location/154398
27638,"777 Main Street - Public Outer Lot | Hartford, CT | EV Station",https://www.plugshare.com/location/154399
27716,"Merritt - Parking Garage | Stratford, CT | EV Station",https://www.plugshare.com/location/154542
27854,"Ajuntament de la Seu d'Urgell | La Seu d'Urgell, CT | EV Station",https://www.plugshare.com/location/154757
27898,"Hotel Nyota | Constanța, CT | EV Station",https://www.plugshare.com/location/154851
27991,"Sweet Evalina’s Stand | Woodstock, CT | EV Station",https://www.plugshare.com/location/155041
28097,"Ramon Park Hotel y Restaurante | Santpedor, CT | EV Station",https://www.plugshare.com/location/155261
28449,"Pfizer Building 290 | Groton, CT | EV Station",https://www.plugshare.com/location/155967
28784,"hafesa oil | Calders, CT | EV Station",https://www.plugshare.com/location/156690
29039,"Connecticut Fire Academy | Windsor Locks, CT | EV Station",https://www.plugshare.com/location/15722
29585,"Bradley International Airport - Executive Valet Parking | Suffield, CT | EV Station",https://www.plugshare.com/location/15823
29630,"Tranzit Com - Service Auto | Medgidia, CT | EV Station",https://www.plugshare.com/location/158329
29821,"One Glastonbury Place | Glastonbury, CT | EV Station",https://www.plugshare.com/location/158719
30118,"Hotel H10 Vintage Salou | Salou, CT | EV Station",https://www.plugshare.com/location/159337
30384,"Mediterraneo | Olimp, CT | EV Station",https://www.plugshare.com/location/159803
30465,"Bridgeport City Hall | Bridgeport, CT | EV Station",https://www.plugshare.com/location/15996
30518,"Casa Rural Mas Roselló | Calonge, CT | EV Station",https://www.plugshare.com/location/160058
30525,"Altafulla Mar Hotel | Altafulla, CT | EV Station",https://www.plugshare.com/location/160067
30528,"HUB International of New England-Cheshire | Cheshire, CT | EV Station",https://www.plugshare.com/location/160070
30530,"CC Arenes de Barcelona | Barcelona, CT | EV Station",https://www.plugshare.com/location/160076
30546,"Hotel Spa Terraza | Roses, CT | EV Station",https://www.plugshare.com/location/160099
30547,"Celler Can Torrens | Sant Fost de Campsentelles, CT | EV Station",https://www.plugshare.com/location/160100
30602,"United Technologies Research Center - West | East Hartford, CT | EV Station",https://www.plugshare.com/location/160197
30710,"Seabury Active Life Plan Community | Bloomfield, CT | EV Station",https://www.plugshare.com/location/160424
30862,"Aparcament Sant Antoni B:SM | Barcelona, CT | EV Station",https://www.plugshare.com/location/160751
31008,"EdRsR Salou (AC22kW) - ETECNIC | Salou, CT | EV Station",https://www.plugshare.com/location/161089
31045,"Tecnoparc Reus - ETECNIC | Reus, CT | EV Station",https://www.plugshare.com/location/161167
31316,"Hartford HealthCare System Support Office | Newington, CT | EV Station",https://www.plugshare.com/location/161728
31439,"Yale University - Evans Hall Garage | New Haven, CT | EV Station",https://www.plugshare.com/location/161957
31440,"Corsair | New Haven, CT | EV Station",https://www.plugshare.com/location/161959
31495,"EdRR Mont-Roig del Camp PIRVEC-31 - ETECNIC | Mont-roig del Camp, CT | EV Station",https://www.plugshare.com/location/162060
31496,"EdRR Hospitalet de l’Infant PIRVEC-13 - ETECNIC | L'Hospitalet de l'Infant, CT | EV Station",https://www.plugshare.com/location/162061
